Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00204995011634888,-0.0013568295468784,0.0241952654679318,0,0,0,0.129914110072269,0.000137918155311093,6.16598410102602E-06,-3.03105894479001E-06,0.000143152813475306,2.00621343324056E-06,0.000213999946093168,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/base_link.STL,,Base-1;MG996R-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.0137888438406219,-0.00362693293121285,0.0226362055648196,0,0,0,0.101914124966612,6.1280499711277E-05,4.97407108493283E-06,8.19530945278062E-06,5.55976350373255E-05,-4.83350549107714E-06,6.23847221180022E-05,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_1.STL,,Waist-1;MG996R-2,Coordinate System3,Axis_joint_17,joint_1,revolute,0,0,0.0566,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_2,-0.00181173640499305,0.00176779024696806,0.0585628483478335,0,0,0,0.0643851410120395,0.000106917717811877,-8.06934088602823E-09,3.24473269191733E-06,0.000111831242505046,2.38709472096612E-07,9.21611171966149E-06,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_2.STL,,Arm01-1,Coordinate System4,Axis_joint_25,joint_2,revolute,-0.0028028,0.014266,0.040276,0,0,-1.0837,link_1,0,1,0,0,0,0,0,,,,,,,,
link_3,-0.0214794613154096,-0.0227152796924238,0.0224280683333677,0,0,0,0.0912746926492035,4.11888089584507E-05,-3.91865228915033E-07,2.45343789609606E-05,6.48147315419532E-05,4.09472891488387E-07,3.89440270523046E-05,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_3.STL,,Arm02-1;MG996R-3;MicroServo-9g-1,Coordinate System5,Axis_joint_35,joint_3,revolute,-0.0039767,0,0.11993,0,0,0,link_2,0,1,0,0,0,0,0,,,,,,,,
link_4,0.0192431133520643,-0.00468896726705134,-0.00486850061846972,0,0,0,0.0236280654739583,3.08746297553031E-06,-1.30769444603168E-07,6.39583860627755E-07,4.6340060273881E-06,-2.36415157525712E-07,5.30133518226429E-06,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/link_4.STL,,Arm03-1;MicroServo-9g-2,Coordinate System6,Axis_joint_45,joint_4,revolute,-0.067003,-0.0167,0.062667,-2.2251,-0.76216,-3.1416,link_3,1,0,0,0,0,0,0,,,,,,,,
gripper_body,-0.0212487659987141,-0.0104868778205601,-0.0186310253452646,0,0,0,0.022849994230099,4.77743683135887E-06,-1.24258597422371E-06,-2.7718039424027E-06,7.69973117098014E-06,-8.04241165083622E-07,6.92233157211724E-06,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_body.STL,,GripperMainBody-1,Coordinate System2,Axis_gripper_body_joint4,gripper_body_joint,revolute,0.027522,-0.00018364,-0.021708,-1.8495,-0.034709,3.0809,link_4,0,1,0,0,0,0,0,,,,,,,,
gripper_right_arm,0.000713131452429128,0.0373870000178132,-0.00619628696736579,0,0,0,0.00803908494447857,1.80504975638724E-06,4.25074055848134E-07,4.23986071750367E-12,4.28425452232142E-07,-5.1569238497986E-12,2.16143641884783E-06,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_right_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_right_arm.STL,,GripperRightArm-1,Coordinate System7,,gripper_right_arm_joint,revolute,-0.039784,0.004,-0.015351,-0.82657,-0.16653,1.4193,gripper_body,0,0,1,0,0,0,0,,,,,,,,
gripper_left_arm,-0.0164564270062939,0.0337213794674381,-0.00623617507733432,0,0,0,0.00796332106924134,1.88450714843574E-06,2.29597773651007E-07,1.77026611497652E-12,3.47707776673474E-07,9.15654501080361E-12,2.16037824091747E-06,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_left_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_left_arm.STL,,GripperLeftArm-1,Coordinate System8,,gripper_left_arm_joint,revolute,-0.039784,-0.0229,-0.015351,-0.82657,-0.16653,1.4193,gripper_body,0,0,1,0,0,0,0,,,,,,,,
gripper_right_wing,0.00580191025799157,0.014373163790736,-0.00824999999995041,0,0,0,0.00159752482636938,1.78020067721761E-07,-6.89274501022285E-08,4.63221143029695E-23,3.50884498010982E-08,9.76073122812573E-23,2.08848451319207E-07,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_right_wing.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_right_wing.STL,,GripperRightWing-1,Coordinate System9,,gripper_right_wing_joint,revolute,-0.053145,-0.004,-0.030233,-0.82657,-0.16653,1.4193,gripper_body,0,0,1,0,0,0,0,,,,,,,,
gripper_left_wing,-0.011569209703223,0.0103152017353376,-0.00824999999996218,0,0,0,0.00159752482636938,9.52126672233214E-08,9.86393609535891E-08,2.05140791913151E-22,1.17895850299537E-07,-1.83634095986772E-22,2.08848451319207E-07,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_left_wing.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotisim_robotic_arm/meshes/gripper_left_wing.STL,,GripperLeftWing-1,Coordinate System10,,gripper_left_wing_joint,revolute,-0.053145,-0.014,-0.030233,-0.82657,-0.16653,1.4193,gripper_body,0,0,1,0,0,0,0,,,,,,,,
